timestamp,mid_price,book_imbalance,vwap_spread
2024-04-15 19:05:51,98773500.0,0.0,15195.669111430645
2024-04-15 19:05:56,98773000.0,-2679.3900211155415,31622.861647456884
2024-04-15 19:06:01,98773000.0,-1399.5818552225828,25759.87121962011
2024-04-15 19:06:06,98773000.0,-879.0587740242481,26613.048174872994
2024-04-15 19:06:11,98773000.0,41.981215596199036,20698.655463188887
2024-04-15 19:06:16,98773000.0,-85.79795803129673,21959.156770661473
2024-04-15 19:06:21,98773000.0,557.9236430674791,25497.606628477573
2024-04-15 19:06:26,98773000.0,-88.37545888125896,16916.005131065845
2024-04-15 19:06:31,98773500.0,-466.6107550114393,16168.519294321537
2024-04-15 19:06:36,98773500.0,-2874.9518755972385,27105.307731613517
2024-04-15 19:06:41,98770500.0,-2832.5654249489307,25102.783272266388
2024-04-15 19:06:47,98770500.0,-318.1692490875721,26616.228378623724
2024-04-15 19:06:52,98770500.0,-3927.4608234614134,26485.726750046015
2024-04-15 19:06:57,98769000.0,-4174.32650783658,27529.698976248503
2024-04-15 19:07:02,98771500.0,-6750.0134821385145,29373.00190283358
2024-04-15 19:07:07,98766000.0,-873.7152993232012,28665.920523136854
2024-04-15 19:07:12,98766000.0,-1872.0098888278008,27047.937783554196
2024-04-15 19:07:17,98773500.0,-2084.9824544638395,28931.392287164927
2024-04-15 19:07:22,98773500.0,-518.6987771987915,18517.189660683274
2024-04-15 19:07:27,98773500.0,-1784.0425958782434,18839.15536850691
2024-04-15 19:07:32,98773500.0,-1781.8677142858505,18845.428180649877
2024-04-15 19:07:38,98773000.0,-4233.215481504798,26384.380716636777
2024-04-15 19:07:43,98773000.0,-4187.691004216671,26458.978570103645
2024-04-15 19:07:48,98773000.0,-1177.9408579915762,14776.82898132503
2024-04-15 19:07:53,98773000.0,-1131.8696675300598,15061.398302957416
2024-04-15 19:07:58,98773000.0,-810.6438867151737,15575.063753768802
2024-04-15 19:08:03,98774500.0,5135.159773901105,20700.774665996432
2024-04-15 19:08:08,98774500.0,5362.564144164324,20555.762347966433
2024-04-15 19:08:13,98789500.0,-612.2559099942446,33376.47508075833
2024-04-15 19:08:18,98776000.0,4804.338210701942,17896.064026921988
2024-04-15 19:08:23,98776000.0,3457.1779351383448,17738.367145955563
2024-04-15 19:08:28,98776000.0,1788.3033500909805,18897.872897416353
2024-04-15 19:08:33,98776000.0,3007.1566482782364,18856.86836901307
2024-04-15 19:08:39,98776000.0,9205.45443558693,31518.83786316216
2024-04-15 19:08:44,98767000.0,1412.086588025093,4789.0938988775015
2024-04-15 19:08:49,98784000.0,6873.287647023797,29078.987837672234
2024-04-15 19:08:54,98784000.0,7344.301249399781,29353.024109199643
2024-04-15 19:08:59,98799500.0,-7008.158543780446,34435.965104192495
2024-04-15 19:09:04,98799500.0,-3735.6152863502502,24290.285088703036
2024-04-15 19:09:09,98799500.0,-792.3592747151852,22310.07724097371
2024-04-15 19:09:14,98797500.0,998.2270077914,17925.161979585886
2024-04-15 19:09:19,98794500.0,889.4183502346277,21024.625617176294
2024-04-15 19:09:24,98788000.0,2182.1111223101616,27111.878059089184
2024-04-15 19:09:29,98788000.0,1252.3278518915176,29745.19675923884
2024-04-15 19:09:35,98788000.0,874.0746784061193,34557.005892947316
2024-04-15 19:09:40,98788000.0,1053.3336736261845,35307.350687384605
2024-04-15 19:09:45,98788000.0,2737.9292840510607,25880.171740815043
2024-04-15 19:09:50,98788000.0,6235.540568679571,17601.75070026517
2024-04-15 19:09:55,98792500.0,3821.5257313996553,19381.332082554698
2024-04-15 19:10:00,98793000.0,5366.941303625703,18740.668658852577
2024-04-15 19:10:05,98793000.0,5374.457752674818,18622.085296601057
2024-04-15 19:10:10,98793000.0,5376.592527970672,18624.6997115016
2024-04-15 19:10:16,98800500.0,-2201.0707636475563,19040.74074074626
2024-04-15 19:10:21,98786500.0,7406.109630361199,12812.287093251944
2024-04-15 19:10:26,98786000.0,7437.463491022587,15427.387209445238
2024-04-15 19:10:31,98800000.0,-1577.7657723724842,13649.026385828853
2024-04-15 19:10:36,98800000.0,643.4280901402235,15782.711066275835
2024-04-15 19:10:41,98802000.0,-74.91226953268051,12353.732724353671
2024-04-15 19:10:46,98802000.0,-176.37212966382504,13168.705004781485
2024-04-15 19:10:51,98802000.0,-175.16272696852684,13160.302449271083
2024-04-15 19:10:57,98802000.0,-1276.355805143714,14466.630165740848
2024-04-15 19:11:02,98802000.0,-1285.3191450834274,14551.003517493606
2024-04-15 19:11:07,98802000.0,-1063.1918356567621,12539.86284968257
2024-04-15 19:11:12,98802000.0,-2717.361358627677,9352.608120456338
2024-04-15 19:11:17,98802000.0,-3164.9151813089848,12494.320057705045
2024-04-15 19:11:22,98802000.0,-4786.114719584584,14104.448139682412
2024-04-15 19:11:27,98784500.0,-4811.172737345099,29326.821447491646
2024-04-15 19:11:32,98787500.0,-7648.9212577193975,32205.30465170741
2024-04-15 19:11:37,98794000.0,-1546.8535178303719,11526.810217052698
2024-04-15 19:11:43,98794000.0,-3166.811803549528,10563.980966821313
2024-04-15 19:11:48,98791500.0,-5793.724122852087,5974.580172538757
2024-04-15 19:11:53,98791500.0,-7219.765428751707,7459.708702757955
2024-04-15 19:11:58,98739000.0,-12087.306850418448,75354.24560798705
2024-04-15 19:12:03,98724500.0,-2956.490936115384,69519.91401663423
2024-04-15 19:12:08,98723000.0,-1240.709719672799,57901.08481119573
2024-04-15 19:12:13,98722500.0,-9456.113635972142,42564.6012930125
2024-04-15 19:12:18,98716000.0,332.4185105115175,34408.13176833093
