price,quantity,type,timestamp
98778000,0.0481,1,2024-04-15 19:06:47
98780000,0.0232,1,2024-04-15 19:06:47
98781000,0.0002,1,2024-04-15 19:06:47
98783000,0.0422,1,2024-04-15 19:06:47
98768000,0.0092,0,2024-04-15 19:06:52
98765000,0.4051,0,2024-04-15 19:06:52
98746000,0.01,0,2024-04-15 19:06:52
98740000,0.4052,0,2024-04-15 19:06:52
98730000,0.0001,0,2024-04-15 19:06:52
98773000,0.0255,1,2024-04-15 19:06:52
98778000,0.0481,1,2024-04-15 19:06:52
98780000,0.0439,1,2024-04-15 19:06:52
98781000,0.0002,1,2024-04-15 19:06:52
98783000,0.0422,1,2024-04-15 19:06:52
98765000,0.3519,0,2024-04-15 19:06:57
98757000,0.0002,0,2024-04-15 19:06:57
98746000,0.01,0,2024-04-15 19:06:57
98740000,0.4052,0,2024-04-15 19:06:57
98730000,0.0001,0,2024-04-15 19:06:57
98773000,0.0255,1,2024-04-15 19:06:57
98778000,0.0481,1,2024-04-15 19:06:57
98780000,0.0439,1,2024-04-15 19:06:57
98781000,0.0002,1,2024-04-15 19:06:57
98783000,0.0422,1,2024-04-15 19:06:57
98765000,0.3503,0,2024-04-15 19:07:02
98746000,0.01,0,2024-04-15 19:07:02
98740000,0.4052,0,2024-04-15 19:07:02
98730000,0.0001,0,2024-04-15 19:07:02
98720000,0.0001,0,2024-04-15 19:07:02
98778000,0.0433,1,2024-04-15 19:07:02
98780000,0.0439,1,2024-04-15 19:07:02
98781000,0.0002,1,2024-04-15 19:07:02
98783000,0.0422,1,2024-04-15 19:07:02
98784000,0.0239,1,2024-04-15 19:07:02
98765000,0.33,0,2024-04-15 19:07:07
98757000,0.0002,0,2024-04-15 19:07:07
98746000,0.01,0,2024-04-15 19:07:07
98740000,0.4052,0,2024-04-15 19:07:07
98730000,0.0001,0,2024-04-15 19:07:07
98767000,0.0047,1,2024-04-15 19:07:07
98778000,0.0433,1,2024-04-15 19:07:07
98780000,0.0232,1,2024-04-15 19:07:07
98781000,0.0002,1,2024-04-15 19:07:07
98783000,0.0422,1,2024-04-15 19:07:07
98765000,0.4292,0,2024-04-15 19:07:12
98746000,0.01,0,2024-04-15 19:07:12
98740000,0.4052,0,2024-04-15 19:07:12
98730000,0.0001,0,2024-04-15 19:07:12
98721000,0.0002,0,2024-04-15 19:07:12
98767000,0.0047,1,2024-04-15 19:07:12
98778000,0.0433,1,2024-04-15 19:07:12
98780000,0.0232,1,2024-04-15 19:07:12
98781000,0.0002,1,2024-04-15 19:07:12
98783000,0.0422,1,2024-04-15 19:07:12
98769000,0.0662,0,2024-04-15 19:07:17
98765000,0.4288,0,2024-04-15 19:07:17
98746000,0.01,0,2024-04-15 19:07:17
98744000,0.057,0,2024-04-15 19:07:17
98740000,0.4489,0,2024-04-15 19:07:17
98778000,0.0433,1,2024-04-15 19:07:17
98780000,0.0232,1,2024-04-15 19:07:17
98781000,0.0002,1,2024-04-15 19:07:17
98783000,0.0422,1,2024-04-15 19:07:17
98796000,0.0103,1,2024-04-15 19:07:17
98769000,0.0595,0,2024-04-15 19:07:22
98765000,0.4288,0,2024-04-15 19:07:22
98757000,0.0002,0,2024-04-15 19:07:22
98752000,0.0619,0,2024-04-15 19:07:22
98751000,0.0342,0,2024-04-15 19:07:22
98778000,0.0431,1,2024-04-15 19:07:22
98780000,0.0232,1,2024-04-15 19:07:22
98781000,0.0002,1,2024-04-15 19:07:22
98783000,0.0422,1,2024-04-15 19:07:22
98796000,0.0103,1,2024-04-15 19:07:22
98769000,0.0557,0,2024-04-15 19:07:27
98765000,0.4288,0,2024-04-15 19:07:27
98757000,0.0002,0,2024-04-15 19:07:27
98746000,0.01,0,2024-04-15 19:07:27
98744000,0.057,0,2024-04-15 19:07:27
98778000,0.0431,1,2024-04-15 19:07:27
98780000,0.0232,1,2024-04-15 19:07:27
98781000,0.0002,1,2024-04-15 19:07:27
98783000,0.0422,1,2024-04-15 19:07:27
98796000,0.0103,1,2024-04-15 19:07:27
98769000,0.0557,0,2024-04-15 19:07:32
98765000,0.4288,0,2024-04-15 19:07:32
98757000,0.0002,0,2024-04-15 19:07:32
98746000,0.01,0,2024-04-15 19:07:32
98744000,0.057,0,2024-04-15 19:07:32
98778000,0.0429,1,2024-04-15 19:07:32
98780000,0.0232,1,2024-04-15 19:07:32
98781000,0.0002,1,2024-04-15 19:07:32
98783000,0.0422,1,2024-04-15 19:07:32
98796000,0.0103,1,2024-04-15 19:07:32
98769000,0.0556,0,2024-04-15 19:07:38
98765000,0.4288,0,2024-04-15 19:07:38
98746000,0.01,0,2024-04-15 19:07:38
98744000,0.057,0,2024-04-15 19:07:38
98740000,0.4052,0,2024-04-15 19:07:38
98777000,0.0337,1,2024-04-15 19:07:38
98778000,0.0429,1,2024-04-15 19:07:38
98780000,0.0232,1,2024-04-15 19:07:38
