price,quantity,type,timestamp
100599000,0.0468,0,2024-04-11 22:38:33
100596000,0.0191,0,2024-04-11 22:38:33
100595000,0.0598,0,2024-04-11 22:38:33
100594000,0.0399,0,2024-04-11 22:38:33
100593000,0.0189,0,2024-04-11 22:38:33
100592000,0.0195,0,2024-04-11 22:38:33
100591000,0.038,0,2024-04-11 22:38:33
100589000,0.0717,0,2024-04-11 22:38:33
100588000,0.0205,0,2024-04-11 22:38:33
100587000,0.0812,0,2024-04-11 22:38:33
100627000,0.0027,1,2024-04-11 22:38:33
100639000,0.0069,1,2024-04-11 22:38:33
100680000,0.0166,1,2024-04-11 22:38:33
100682000,0.0461,1,2024-04-11 22:38:33
100683000,0.0188,1,2024-04-11 22:38:33
100684000,0.058,1,2024-04-11 22:38:33
100700000,0.0014,1,2024-04-11 22:38:33
100716000,0.0002,1,2024-04-11 22:38:33
100719000,0.0559,1,2024-04-11 22:38:33
100733000,0.1,1,2024-04-11 22:38:33
100565000,0.7378,0,2024-04-11 22:38:38
100562000,0.1763,0,2024-04-11 22:38:38
100558000,0.0272,0,2024-04-11 22:38:38
100556000,0.0029,0,2024-04-11 22:38:38
100550000,0.315,0,2024-04-11 22:38:38
100547000,0.0021,0,2024-04-11 22:38:38
100544000,0.0009,0,2024-04-11 22:38:38
100540000,0.0879,0,2024-04-11 22:38:38
100538000,0.0001,0,2024-04-11 22:38:38
100537000,0.0023,0,2024-04-11 22:38:38
100574000,0.6774,1,2024-04-11 22:38:38
100584000,0.0002,1,2024-04-11 22:38:38
100587000,0.0262,1,2024-04-11 22:38:38
100598000,0.0185,1,2024-04-11 22:38:38
100599000,0.0074,1,2024-04-11 22:38:38
100601000,0.0469,1,2024-04-11 22:38:38
100604000,0.0209,1,2024-04-11 22:38:38
100605000,0.0606,1,2024-04-11 22:38:38
100609000,0.0191,1,2024-04-11 22:38:38
100614000,0.0207,1,2024-04-11 22:38:38
100565000,0.462,0,2024-04-11 22:38:43
100562000,0.1763,0,2024-04-11 22:38:43
100558000,0.0272,0,2024-04-11 22:38:43
100556000,0.0029,0,2024-04-11 22:38:43
100550000,0.315,0,2024-04-11 22:38:43
100547000,0.0021,0,2024-04-11 22:38:43
100544000,0.0009,0,2024-04-11 22:38:43
100540000,0.0879,0,2024-04-11 22:38:43
100538000,0.0001,0,2024-04-11 22:38:43
100537000,0.0022,0,2024-04-11 22:38:43
100570000,0.0146,1,2024-04-11 22:38:43
100571000,0.0189,1,2024-04-11 22:38:43
100573000,0.0424,1,2024-04-11 22:38:43
100574000,0.5339,1,2024-04-11 22:38:43
100575000,0.0254,1,2024-04-11 22:38:43
100576000,0.0188,1,2024-04-11 22:38:43
100577000,0.0288,1,2024-04-11 22:38:43
100580000,0.023,1,2024-04-11 22:38:43
100584000,0.0002,1,2024-04-11 22:38:43
100605000,0.0606,1,2024-04-11 22:38:43
100565000,0.4621,0,2024-04-11 22:38:48
100562000,0.1763,0,2024-04-11 22:38:48
100558000,0.0272,0,2024-04-11 22:38:48
100556000,0.0029,0,2024-04-11 22:38:48
100550000,0.305,0,2024-04-11 22:38:48
100547000,0.0001,0,2024-04-11 22:38:48
100544000,0.0009,0,2024-04-11 22:38:48
100540000,0.0879,0,2024-04-11 22:38:48
100538000,0.0001,0,2024-04-11 22:38:48
100537000,0.0023,0,2024-04-11 22:38:48
100573000,0.0115,1,2024-04-11 22:38:48
100574000,0.5112,1,2024-04-11 22:38:48
