timestamp,mid_price,book_imbalance
2024-04-18 00:00:03,4455500.0,0.0
2024-04-18 00:00:08,4455000.0,1841.9511896707118
2024-04-18 00:00:13,4454500.0,137.41899413149804
2024-04-18 00:00:18,4458500.0,-477.5737652424723
2024-04-18 00:00:23,4458000.0,-320.73164343461394
2024-04-18 00:00:29,4458000.0,-1252.732223296538
2024-04-18 00:00:34,4458000.0,-1195.1768450690433
2024-04-18 00:00:39,4458500.0,-1345.7239164877683
2024-04-18 00:00:44,4458500.0,-236.78657275997102
2024-04-18 00:00:49,4459000.0,366.1945476839319
2024-04-18 00:00:54,4459000.0,-1469.425115434453
2024-04-18 00:00:59,4459000.0,-1393.4831595644355
2024-04-18 00:01:04,4459500.0,-538.3245556717739
2024-04-18 00:01:09,4460500.0,1584.837438239716
2024-04-18 00:01:14,4460500.0,2160.6651084879413
2024-04-18 00:01:19,4464500.0,1477.0571130029857
2024-04-18 00:01:25,4469000.0,-161.1092324834317
2024-04-18 00:01:30,4472500.0,-1494.5255396794528
2024-04-18 00:01:35,4468500.0,-840.8531832853332
2024-04-18 00:01:40,4468000.0,-1620.307110099122
2024-04-18 00:01:45,4462500.0,1527.6432008370757
2024-04-18 00:01:50,4464500.0,-458.22172261960804
2024-04-18 00:01:55,4461500.0,-678.6669400101528
2024-04-18 00:02:00,4462500.0,-1479.9431167189032
2024-04-18 00:02:05,4459500.0,-514.8840343682095
2024-04-18 00:02:10,4459500.0,-817.062563049607
2024-04-18 00:02:16,4457500.0,-277.49991947226226
2024-04-18 00:02:21,4455500.0,-491.5048361690715
2024-04-18 00:02:26,4455500.0,-839.0682263383642
2024-04-18 00:02:31,4453000.0,-10.52648818679154
2024-04-18 00:02:36,4452500.0,-181.8549341391772
2024-04-18 00:02:41,4452000.0,-1130.7694244729355
2024-04-18 00:02:46,4452500.0,-238.33922297600657
2024-04-18 00:02:51,4452000.0,-583.0596308447421
2024-04-18 00:02:56,4451500.0,-1125.9269118178636
2024-04-18 00:03:02,4449500.0,-1163.223124303855
2024-04-18 00:03:07,4448500.0,-1337.4700507400557
2024-04-18 00:03:12,4443000.0,935.8089299295098
2024-04-18 00:03:17,4444500.0,-416.97687336988747
2024-04-18 00:03:22,4445000.0,532.3338266406208
2024-04-18 00:03:27,4443500.0,-904.2500947443768
2024-04-18 00:03:32,4440500.0,-1660.7810615021735
2024-04-18 00:03:37,4436500.0,-869.3725736644119
